Current Round,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Round Progress,In Progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,2,2,,2,2,,,,,,,,,,,,
Round,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,1,1,,2,2,,,,,,,,,,,,
Overall Round,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,7,7,,8,8,,,,,,,,,,,,
Player ID,Player Name,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,,Total Score,Top 4s,Firsts,Seconds,Thirds,Fourths,Fifths,Sixths,Sevenths,Eights
11,Xnieamo#NA1,B,5,,B,2,,B,1,,B,3,,A,8,,,,,,,,,,,,26,3,1,1,1,0,1,0,0,1
7,11lumin#1111,A,5,,A,2,,B,4,,B,1,,A,6,,,,,,,,,,,,27,3,1,1,0,1,1,1,0,0
13,grea#melt,B,1,,B,7,,A,4,,A,1,,A,,,,,,,,,,,,,23,3,2,0,0,1,0,0,1,0
9,VIT k3soju#000,B,4,,B,1,,B,2,,B,6,,A,4,,,,,,,,,,,,28,4,1,1,0,2,0,1,0,0
15,PockyGom#rawr,B,3,,B,3,,A,3,,A,5,,A,,,,,,,,,,,,,22,3,0,0,3,0,1,0,0,0
6,Kaiweng#NA1,A,2,,A,5,,A,5,,A,4,,A,5,,,,,,,,,,,,24,2,0,1,0,1,3,0,0,0
1,Marcel P#2982,A,4,,A,8,,A,2,,A,3,,A,,,,,,,,,,,,,19,3,0,1,1,1,0,0,0,1
10,VIT setsuko#NA2,B,6,,B,8,,A,1,,A,2,,A,,,,,,,,,,,,,19,2,1,1,0,0,0,1,0,1
2,wasianiverson#NA2,A,3,,A,1,,A,7,,A,6,,cut,,,,,,,,,,,,,19,2,1,0,1,0,0,1,1,0
12,Z10 Filup#TFT,B,2,,B,4,,B,8,,B,4,,cut,,,,,,,,,,,,,18,3,0,1,0,2,0,0,0,1
4,Z10 Darth Nub#NA2,A,8,,A,3,,B,5,,B,2,,cut,,,,,,,,,,,,,18,2,0,1,1,0,1,0,0,1
5,Dishsoap#NA2,A,6,,A,4,,B,3,,B,5,,cut,,,,,,,,,,,,,18,2,0,0,1,1,1,1,0,0
3,100T Spencer#TFT,A,1,,A,7,,A,6,,A,7,,cut,,,,,,,,,,,,,15,1,1,0,0,0,0,1,2,0
16,dpei#NA1,B,7,,B,6,,B,6,,B,8,,cut,,,,,,,,,,,,,9,0,0,0,0,0,0,2,1,1
8,robinsongz#888,A,7,,A,6,,B,7,,B,7,,cut,,,,,,,,,,,,,9,0,0,0,0,0,0,1,3,0
14,imriveting#NA1,B,8,,B,5,,A,8,,A,8,,cut,,,,,,,,,,,,,7,0,0,0,0,0,1,0,0,3
