Current Round,1,,,,,,,,,,,,,,,,,,,,
Current Round Progress,Not Started,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Day,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,2,2
Round,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,1,1
Overall Round,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,7,7
Player ID,Player Name,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement
1,100T Dishsoap,A,,,,,,,,,,,,,,,,,,,
2,Steppy,A,,,,,,,,,,,,,,,,,,,
3,Nguyenvux,A,,,,,,,,,,,,,,,,,,,
4,ZETA Summertimer,A,,,,,,,,,,,,,,,,,,,
5,FLCN LiShao,A,,,,,,,,,,,,,,,,,,,
6,TWIS Xunge,A,,,,,,,,,,,,,,,,,,,
7,RCS Xperion,A,,,,,,,,,,,,,,,,,,,
8,IZI Lyyyress,A,,,,,,,,,,,,,,,,,,,
9,Cambulee,B,,,,,,,,,,,,,,,,,,,
10,Dehua,B,,,,,,,,,,,,,,,,,,,
11,Kurumx,B,,,,,,,,,,,,,,,,,,,
12,SB Grenade,B,,,,,,,,,,,,,,,,,,,
13,Taro,B,,,,,,,,,,,,,,,,,,,
14,TLN YBY1,B,,,,,,,,,,,,,,,,,,,
15,HanXing,B,,,,,,,,,,,,,,,,,,,
16,AEG Gobosteur,B,,,,,,,,,,,,,,,,,,,
17,VIT Setsuko,C,,,,,,,,,,,,,,,,,,,
18,VA PA CASA,C,,,,,,,,,,,,,,,,,,,
19,Texsummers,C,,,,,,,,,,,,,,,,,,,
20,ZETA Yatsuhashi,C,,,,,,,,,,,,,,,,,,,
21,SanWeizi,C,,,,,,,,,,,,,,,,,,,
22,SLY Voltariux,C,,,,,,,,,,,,,,,,,,,
23,Vomendeth,C,,,,,,,,,,,,,,,,,,,
24,M8 L3SCoco,C,,,,,,,,,,,,,,,,,,,
25,Bopster,D,,,,,,,,,,,,,,,,,,,
26,Wasianiverson,D,,,,,,,,,,,,,,,,,,,
27,FW AQ1H,D,,,,,,,,,,,,,,,,,,,
28,XiaoYuqin,D,,,,,,,,,,,,,,,,,,,
29,XiaoJu,D,,,,,,,,,,,,,,,,,,,
30,XiaoQi,D,,,,,,,,,,,,,,,,,,,
31,G5 Klicornen,D,,,,,,,,,,,,,,,,,,,
32,CTG Robinsongz,D,,,,,,,,,,,,,,,,,,,
33,GD Royal,E,,,,,,,,,,,,,,,,,,,
34,Tristan (LIL STEPPY),E,,,,,,,,,,,,,,,,,,,
35,ZhenBai,E,,,,,,,,,,,,,,,,,,,
36,ShenDu,E,,,,,,,,,,,,,,,,,,,
37,WOL YGQF,E,,,,,,,,,,,,,,,,,,,
38,MOUZ Sologesang,E,,,,,,,,,,,,,,,,,,,
39,FNC Bensac,E,,,,,,,,,,,,,,,,,,,
40,ROC DrOH,E,,,,,,,,,,,,,,,,,,,
