Current Round,2,,,,,,,,,,,,,,,,,,,,
Current Round Progress,Not Started,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Day,,,3,3,,3,3,,3,3,,3,3,,3,3,,3,3,,3,3
Round,,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,7,7
Overall Round,,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,7,7
Player ID,Player Name,Prior Day Points,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,
1,Player 1,45,A,3,,,,,,,,,,,,,,,,,,,,
2,Player 2,42,A,1,,,,,,,,,,,,,,,,,,,,
3,Player 3,40,A,5,,,,,,,,,,,,,,,,,,,,
4,Player 4,38,A,7,,,,,,,,,,,,,,,,,,,,
5,Player 5,36,A,2,,,,,,,,,,,,,,,,,,,,
6,Player 6,35,A,4,,,,,,,,,,,,,,,,,,,,
7,Player 7,34,A,8,,,,,,,,,,,,,,,,,,,,
8,Player 8,33,A,6,,,,,,,,,,,,,,,,,,,,
9,Player 9,32,B,4,,,,,,,,,,,,,,,,,,,,
10,Player 10,31,B,2,,,,,,,,,,,,,,,,,,,,
11,Player 11,30,B,8,,,,,,,,,,,,,,,,,,,,
12,Player 12,29,B,1,,,,,,,,,,,,,,,,,,,,
13,Player 13,28,B,6,,,,,,,,,,,,,,,,,,,,
14,Player 14,27,B,3,,,,,,,,,,,,,,,,,,,,
15,Player 15,26,B,5,,,,,,,,,,,,,,,,,,,,
16,Player 16,25,B,7,,,,,,,,,,,,,,,,,,,,
17,Player 17,24,C,2,,,,,,,,,,,,,,,,,,,,
18,Player 18,23,C,5,,,,,,,,,,,,,,,,,,,,
19,Player 19,22,C,1,,,,,,,,,,,,,,,,,,,,
20,Player 20,21,C,4,,,,,,,,,,,,,,,,,,,,
21,Player 21,20,C,7,,,,,,,,,,,,,,,,,,,,
22,Player 22,19,C,3,,,,,,,,,,,,,,,,,,,,
23,Player 23,18,C,8,,,,,,,,,,,,,,,,,,,,
24,Player 24,17,C,6,,,,,,,,,,,,,,,,,,,,
25,Player 25,16,D,6,,,,,,,,,,,,,,,,,,,,
26,Player 26,15,D,3,,,,,,,,,,,,,,,,,,,,
27,Player 27,14,D,1,,,,,,,,,,,,,,,,,,,,
28,Player 28,13,D,5,,,,,,,,,,,,,,,,,,,,
29,Player 29,12,D,8,,,,,,,,,,,,,,,,,,,,
30,Player 30,11,D,2,,,,,,,,,,,,,,,,,,,,
31,Player 31,10,D,4,,,,,,,,,,,,,,,,,,,,
32,Player 32,8,D,7,,,,,,,,,,,,,,,,,,,,
